VideoID, TotalComments, GoodComments, TrashComments, Glaze, ManyEmojis, Repetitive, Short, 67, GoodLikeAvg, FlaggedLikeAvg, GoodReplyAvg, FlaggedReplyAvg
3xLo3rkRsbI, 449, 224, 225, 1, 135, 44, 169, 29, 1.6964285714285714, 0.7333333333333333, 0.16964285714285715, 0.07111111111111111
ZIxrkpBnPGY, 147, 113, 34, 3, 14, 13, 17, 2, 10.557522123893806, 1.2058823529411764, 0.4424778761061947, 0.0
En4vNg51NEY, 443, 267, 176, 0, 99, 24, 145, 2, 2.157303370786517, 0.875, 0.2546816479400749, 0.017045454545454544
-xic5bJIuQM, 1000, 351, 649, 0, 491, 134, 475, 1, 0.1794871794871795, 0.06779661016949153, 0.014245014245014245, 0.012326656394453005
wUPdiXuX1pw, 208, 148, 60, 0, 28, 13, 43, 0, 4.601351351351352, 0.55, 0.13513513513513514, 0.06666666666666667
xXNiFl6Enk0, 470, 261, 209, 0, 141, 36, 161, 5, 0.8505747126436781, 0.09569377990430622, 0.21839080459770116, 0.009569377990430622
RlUwI0xBf10, 1000, 604, 396, 4, 198, 127, 245, 3, 7.543046357615894, 0.09090909090909091, 0.2897350993377483, 0.015151515151515152
BJWM1sAIDf4, 166, 91, 75, 0, 60, 9, 61, 3, 2.6483516483516483, 1.96, 0.26373626373626374, 0.08
ZaFygKnQ36M, 1000, 775, 225, 4, 52, 74, 142, 4, 2.1354838709677417, 0.2222222222222222, 0.1367741935483871, 0.017777777777777778
Zbrtd_iZ58s, 463, 224, 239, 4, 151, 41, 182, 1, 3.982142857142857, 2.3682008368200838, 0.23214285714285715, 0.17573221757322174
nxyXJvpad-A, 1000, 469, 531, 0, 41, 41, 488, 23, 0.2515991471215352, 0.03389830508474576, 0.021321961620469083, 0.003766478342749529
ItoN1Mv-UEY, 185, 65, 120, 0, 48, 18, 96, 3, 0.47692307692307695, 0.45, 0.12307692307692308, 0.08333333333333333
_sWpNWeJtzU, 608, 196, 412, 0, 314, 37, 312, 3, 1.6683673469387754, 0.32281553398058255, 0.4846938775510204, 0.03155339805825243
FrJS4Nz_5b8, 1000, 791, 209, 1, 72, 100, 103, 2, 0.6156763590391909, 0.3444976076555024, 0.03792667509481669, 0.019138755980861243
3Byum2wHQZw, 1000, 675, 325, 3, 148, 127, 188, 7, 0.16296296296296298, 1.5723076923076924, 0.007407407407407408, 0.015384615384615385
